search_type,N,time_elapsed
Linear,200000000,1.676
Binary,200000000,0.001
Linear,400000000,5.834
Binary,400000000,0.002
Linear,600000000,8.867
Binary,600000000,0.003
Linear,800000000,9.672
Binary,800000000,0.003
Linear,1000000000,14.915
Binary,1000000000,0.004
Linear,1200000000,11.448
Binary,1200000000,0.004
Linear,1400000000,12.825
Binary,1400000000,0.004
Linear,1600000000,14.169
Binary,1600000000,0.005
Linear,1800000000,23.541
Binary,1800000000,0.004
Linear,2000000000,29.738
Binary,2000000000,0.004
